# Stable Usage Pattern - Normal GC sawtooth, CPU stable
# Expected: Recommendation = Scale down (using less than requested)
# Format: timestamp_offset_minutes,cpu_millicores,memory_bytes,request_cpu,request_memory
0,150,536870912,500,1073741824
5,155,570425344,500,1073741824
10,148,603979776,500,1073741824
15,152,536870912,500,1073741824
20,147,570425344,500,1073741824
25,153,603979776,500,1073741824
30,149,536870912,500,1073741824
35,151,570425344,500,1073741824
40,154,603979776,500,1073741824
45,148,536870912,500,1073741824
50,152,570425344,500,1073741824
55,150,603979776,500,1073741824
60,147,536870912,500,1073741824
65,155,570425344,500,1073741824
70,149,603979776,500,1073741824
75,153,536870912,500,1073741824
80,148,570425344,500,1073741824
85,151,603979776,500,1073741824
90,154,536870912,500,1073741824
95,150,570425344,500,1073741824
100,147,603979776,500,1073741824
105,152,536870912,500,1073741824
110,149,570425344,500,1073741824
115,155,603979776,500,1073741824
120,148,536870912,500,1073741824
125,153,570425344,500,1073741824
130,150,603979776,500,1073741824
135,151,536870912,500,1073741824
140,147,570425344,500,1073741824
145,154,603979776,500,1073741824
150,149,536870912,500,1073741824
155,152,570425344,500,1073741824
160,148,603979776,500,1073741824
165,155,536870912,500,1073741824
170,150,570425344,500,1073741824
175,153,603979776,500,1073741824
180,149,536870912,500,1073741824
